"time" "S" "I" "R"
"168" 1 1299 1 0
"1168" 2 1298 2 0
"2168" 3 1298 2 0
"3168" 4 1297 3 0
"4168" 5 1297 3 0
"5168" 6 1297 2 1
"6168" 7 1297 2 1
"7168" 8 1294 5 1
"8168" 9 1291 8 1
"9168" 10 1284 14 2
"10168" 11 1269 27 4
"11168" 12 1253 34 13
"12168" 13 1232 51 17
"13168" 14 1201 68 31
"14168" 15 1163 92 45
"15168" 16 1117 105 78
"16168" 17 1075 124 101
"17168" 18 1020 158 122
"18168" 19 957 192 151
"19168" 20 889 218 193
"20168" 21 802 255 243
"21168" 22 723 284 293
"22168" 23 640 306 354
"23168" 24 581 316 403
"24168" 25 517 324 459
"25168" 26 441 330 529
"26168" 27 385 317 598
"27168" 28 336 305 659
"28168" 29 301 283 716
"29168" 30 276 257 767
"30168" 31 257 224 819
"31168" 32 238 203 859
"32168" 33 220 191 889
"33168" 34 203 177 920
"34168" 35 194 154 952
"35168" 36 174 142 984
"36168" 37 166 122 1012
"37168" 38 158 110 1032
"38168" 39 152 100 1048
"39168" 40 146 87 1067
"40168" 41 138 78 1084
"41168" 42 135 62 1103
"42168" 43 135 48 1117
"43168" 44 132 42 1126
"44168" 45 131 33 1136
"45168" 46 130 30 1140
"46168" 47 129 26 1145
"47168" 48 126 26 1148
"48168" 49 125 24 1151
"49168" 50 123 22 1155
"50168" 51 120 22 1158
"51168" 52 120 20 1160
"52168" 53 120 15 1165
"53168" 54 120 11 1169
"54168" 55 119 10 1171
"55168" 56 119 8 1173
"56168" 57 118 8 1174
"57168" 58 118 7 1175
"58168" 59 117 6 1177
"59168" 60 117 5 1178
"60168" 61 117 5 1178
"61168" 62 117 4 1179
"62168" 63 117 3 1180
"63168" 64 117 2 1181
"64168" 65 117 2 1181
"65168" 66 117 2 1181
"66168" 67 117 2 1181
"67168" 68 117 2 1181
"68168" 69 117 1 1182
"69168" 70 117 0 1183
"70168" 71 117 0 1183
"71168" 72 117 0 1183
"72168" 73 117 0 1183
"73168" 74 117 0 1183
"74168" 75 117 0 1183
"75168" 76 117 0 1183
"76168" 77 117 0 1183
"77168" 78 117 0 1183
"78168" 79 117 0 1183
"79168" 80 117 0 1183
"80168" 81 117 0 1183
"81168" 82 117 0 1183
"82168" 83 117 0 1183
"83168" 84 117 0 1183
"84168" 85 117 0 1183
"85168" 86 117 0 1183
"86168" 87 117 0 1183
"87168" 88 117 0 1183
"88168" 89 117 0 1183
"89168" 90 117 0 1183
"90168" 91 117 0 1183
"91168" 92 117 0 1183
"92168" 93 117 0 1183
"93168" 94 117 0 1183
"94168" 95 117 0 1183
"95168" 96 117 0 1183
"96168" 97 117 0 1183
"97168" 98 117 0 1183
"98168" 99 117 0 1183
"99168" 100 117 0 1183
