"time" "S" "E" "I" "R"
"62" 1 1300 1 0 0
"1062" 2 1300 1 0 0
"2062" 3 1300 0 1 0
"3062" 4 1299 1 1 0
"4062" 5 1299 1 0 1
"5062" 6 1299 1 0 1
"6062" 7 1297 2 1 1
"7062" 8 1296 2 2 1
"8062" 9 1296 2 2 1
"9062" 10 1295 2 3 1
"10062" 11 1295 2 3 1
"11062" 12 1294 3 3 1
"12062" 13 1293 4 3 1
"13062" 14 1293 3 3 2
"14062" 15 1290 6 3 2
"15062" 16 1289 7 3 2
"16062" 17 1287 8 3 3
"17062" 18 1283 11 4 3
"18062" 19 1278 13 7 3
"19062" 20 1271 15 10 5
"20062" 21 1267 16 13 5
"21062" 22 1263 17 14 7
"22062" 23 1252 22 17 10
"23062" 24 1244 25 21 11
"24062" 25 1226 37 23 15
"25062" 26 1206 47 27 21
"26062" 27 1196 48 31 26
"27062" 28 1180 55 36 30
"28062" 29 1161 64 43 33
"29062" 30 1138 74 44 45
"30062" 31 1122 78 49 52
"31062" 32 1101 80 51 69
"32062" 33 1082 74 60 85
"33062" 34 1069 79 58 95
"34062" 35 1043 89 62 107
"35062" 36 1022 90 70 119
"36062" 37 995 100 71 135
"37062" 38 973 102 77 149
"38062" 39 946 105 80 170
"39062" 40 909 115 88 189
"40062" 41 879 128 93 201
"41062" 42 841 129 112 219
"42062" 43 806 134 118 243
"43062" 44 767 147 124 263
"44062" 45 737 148 124 292
"45062" 46 707 151 118 325
"46062" 47 669 150 133 349
"47062" 48 639 143 147 372
"48062" 49 597 147 155 402
"49062" 50 564 156 147 434
"50062" 51 537 154 145 465
"51062" 52 511 156 137 497
"52062" 53 491 148 139 523
"53062" 54 453 157 140 551
"54062" 55 431 150 141 579
"55062" 56 406 131 158 606
"56062" 57 384 119 157 641
"57062" 58 365 112 152 672
"58062" 59 340 113 144 704
"59062" 60 324 110 136 731
"60062" 61 305 105 140 751
"61062" 62 286 109 126 780
"62062" 63 269 109 119 804
"63062" 64 255 100 115 831
"64062" 65 248 81 117 855
"65062" 66 239 78 105 879
"66062" 67 229 75 102 895
"67062" 68 216 69 102 914
"68062" 69 210 67 94 930
"69062" 70 203 62 92 944
"70062" 71 199 50 90 962
"71062" 72 193 47 84 977
"72062" 73 191 44 78 988
"73062" 74 188 36 75 1002
"74062" 75 183 31 72 1015
"75062" 76 179 27 69 1026
"76062" 77 175 27 64 1035
"77062" 78 167 30 60 1044
