"partners","partner type","longevity","thorax"
"8","Inseminated",35,0.64
"8","Inseminated",37,0.68
"8","Inseminated",49,0.68
"8","Inseminated",46,0.72
"8","Inseminated",63,0.72
"8","Inseminated",39,0.76
"8","Inseminated",46,0.76
"8","Inseminated",56,0.76
"8","Inseminated",63,0.76
"8","Inseminated",65,0.76
"8","Inseminated",56,0.8
"8","Inseminated",65,0.8
"8","Inseminated",70,0.8
"8","Inseminated",63,0.84
"8","Inseminated",65,0.84
"8","Inseminated",70,0.84
"8","Inseminated",77,0.84
"8","Inseminated",81,0.84
"8","Inseminated",86,0.84
"8","Inseminated",70,0.88
"8","Inseminated",70,0.88
"8","Inseminated",77,0.92
"8","Inseminated",77,0.92
"8","Inseminated",81,0.92
"8","Inseminated",77,0.94
"0","Control",40,0.64
"0","Control",37,0.7
"0","Control",44,0.72
"0","Control",47,0.72
"0","Control",47,0.72
"0","Control",47,0.76
"0","Control",68,0.78
"0","Control",47,0.8
"0","Control",54,0.84
"0","Control",61,0.84
"0","Control",71,0.84
"0","Control",75,0.84
"0","Control",89,0.84
"0","Control",58,0.88
"0","Control",59,0.88
"0","Control",62,0.88
"0","Control",79,0.88
"0","Control",96,0.88
"0","Control",58,0.92
"0","Control",62,0.92
"0","Control",70,0.92
"0","Control",72,0.92
"0","Control",75,0.92
"0","Control",96,0.92
"0","Control",75,0.94
"1","Inseminated",46,0.64
"1","Inseminated",42,0.68
"1","Inseminated",65,0.72
"1","Inseminated",46,0.76
"1","Inseminated",58,0.76
"1","Inseminated",42,0.8
"1","Inseminated",48,0.8
"1","Inseminated",58,0.8
"1","Inseminated",50,0.82
"1","Inseminated",80,0.82
"1","Inseminated",63,0.84
"1","Inseminated",65,0.84
"1","Inseminated",70,0.84
"1","Inseminated",70,0.84
"1","Inseminated",72,0.84
"1","Inseminated",97,0.84
"1","Inseminated",46,0.88
"1","Inseminated",56,0.88
"1","Inseminated",70,0.88
"1","Inseminated",70,0.88
"1","Inseminated",72,0.88
"1","Inseminated",76,0.88
"1","Inseminated",90,0.88
"1","Inseminated",76,0.92
"1","Inseminated",92,0.92
"1","Virgin",21,0.68
"1","Virgin",40,0.68
"1","Virgin",44,0.72
"1","Virgin",54,0.76
"1","Virgin",36,0.78
"1","Virgin",40,0.8
"1","Virgin",56,0.8
"1","Virgin",60,0.8
"1","Virgin",48,0.84
"1","Virgin",53,0.84
"1","Virgin",60,0.84
"1","Virgin",60,0.84
"1","Virgin",65,0.84
"1","Virgin",68,0.84
"1","Virgin",60,0.88
"1","Virgin",81,0.88
"1","Virgin",81,0.88
"1","Virgin",48,0.9
"1","Virgin",48,0.9
"1","Virgin",56,0.9
"1","Virgin",68,0.9
"1","Virgin",75,0.9
"1","Virgin",81,0.9
"1","Virgin",48,0.92
"1","Virgin",68,0.92
"8","Virgin",16,0.64
"8","Virgin",19,0.64
"8","Virgin",19,0.68
"8","Virgin",32,0.72
"8","Virgin",33,0.72
"8","Virgin",33,0.74
"8","Virgin",30,0.76
"8","Virgin",42,0.76
"8","Virgin",42,0.76
"8","Virgin",33,0.78
"8","Virgin",26,0.8
"8","Virgin",30,0.8
"8","Virgin",40,0.82
"8","Virgin",54,0.82
"8","Virgin",34,0.84
"8","Virgin",34,0.84
"8","Virgin",47,0.84
"8","Virgin",47,0.84
"8","Virgin",42,0.88
"8","Virgin",47,0.88
"8","Virgin",54,0.88
"8","Virgin",54,0.88
"8","Virgin",56,0.88
"8","Virgin",60,0.88
"8","Virgin",44,0.92
