deaths,sex,date
901,female,1974-01-01
689,female,1974-01-01
827,female,1974-03-01
677,female,1974-04-01
522,female,1974-05-01
406,female,1974-06-01
441,female,1974-07-01
393,female,1974-08-01
387,female,1974-09-01
582,female,1974-10-01
578,female,1974-11-01
666,female,1974-12-01
830,female,1975-01-01
752,female,1975-01-01
785,female,1975-03-01
664,female,1975-04-01
467,female,1975-05-01
438,female,1975-06-01
421,female,1975-07-01
412,female,1975-08-01
343,female,1975-09-01
440,female,1975-10-01
531,female,1975-11-01
771,female,1975-12-01
767,female,1976-01-01
1141,female,1976-01-01
896,female,1976-03-01
532,female,1976-04-01
447,female,1976-05-01
420,female,1976-06-01
376,female,1976-07-01
330,female,1976-08-01
357,female,1976-09-01
445,female,1976-10-01
546,female,1976-11-01
764,female,1976-12-01
862,female,1977-01-01
660,female,1977-01-01
663,female,1977-03-01
643,female,1977-04-01
502,female,1977-05-01
392,female,1977-06-01
411,female,1977-07-01
348,female,1977-08-01
387,female,1977-09-01
385,female,1977-10-01
411,female,1977-11-01
638,female,1977-12-01
796,female,1978-01-01
853,female,1978-01-01
737,female,1978-03-01
546,female,1978-04-01
530,female,1978-05-01
446,female,1978-06-01
431,female,1978-07-01
362,female,1978-08-01
387,female,1978-09-01
430,female,1978-10-01
425,female,1978-11-01
679,female,1978-12-01
821,female,1979-01-01
785,female,1979-01-01
727,female,1979-03-01
612,female,1979-04-01
478,female,1979-05-01
429,female,1979-06-01
405,female,1979-07-01
379,female,1979-08-01
393,female,1979-09-01
411,female,1979-10-01
487,female,1979-11-01
574,female,1979-12-01
2134,male,1974-01-01
1863,male,1974-01-01
1877,male,1974-03-01
1877,male,1974-04-01
1492,male,1974-05-01
1249,male,1974-06-01
1280,male,1974-07-01
1131,male,1974-08-01
1209,male,1974-09-01
1492,male,1974-10-01
1621,male,1974-11-01
1846,male,1974-12-01
2103,male,1975-01-01
2137,male,1975-01-01
2153,male,1975-03-01
1833,male,1975-04-01
1403,male,1975-05-01
1288,male,1975-06-01
1186,male,1975-07-01
1133,male,1975-08-01
1053,male,1975-09-01
1347,male,1975-10-01
1545,male,1975-11-01
2066,male,1975-12-01
2020,male,1976-01-01
2750,male,1976-01-01
2283,male,1976-03-01
1479,male,1976-04-01
1189,male,1976-05-01
1160,male,1976-06-01
1113,male,1976-07-01
970,male,1976-08-01
999,male,1976-09-01
1208,male,1976-10-01
1467,male,1976-11-01
2059,male,1976-12-01
2240,male,1977-01-01
1634,male,1977-01-01
1722,male,1977-03-01
1801,male,1977-04-01
1246,male,1977-05-01
1162,male,1977-06-01
1087,male,1977-07-01
1013,male,1977-08-01
959,male,1977-09-01
1179,male,1977-10-01
1229,male,1977-11-01
1655,male,1977-12-01
2019,male,1978-01-01
2284,male,1978-01-01
1942,male,1978-03-01
1423,male,1978-04-01
1340,male,1978-05-01
1187,male,1978-06-01
1098,male,1978-07-01
1004,male,1978-08-01
970,male,1978-09-01
1140,male,1978-10-01
1110,male,1978-11-01
1812,male,1978-12-01
2263,male,1979-01-01
1820,male,1979-01-01
1846,male,1979-03-01
1531,male,1979-04-01
1215,male,1979-05-01
1075,male,1979-06-01
1056,male,1979-07-01
975,male,1979-08-01
940,male,1979-09-01
1081,male,1979-10-01
1294,male,1979-11-01
1341,male,1979-12-01
